State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
29,059,MO,Dallas County,3502,2843,4161,21.7,17.6,25.8,1233,967,1499,32.8,25.7,39.9,900,712,1088,32.2,25.5,38.9,34987,31647,38327,.,.,.,.,.,.
29,061,MO,Daviess County,1363,1076,1650,16.8,13.3,20.3,592,445,739,27.9,21,34.8,412,304,520,25.9,19.1,32.7,41610,37721,45499,.,.,.,.,.,.
29,063,MO,DeKalb County,1697,1324,2070,18.6,14.5,22.7,418,327,509,19.9,15.6,24.2,296,231,361,19,14.9,23.1,42174,38027,46321,.,.,.,.,.,.
29,065,MO,Dent County,3322,2637,4007,21.6,17.2,26,1108,842,1374,31.8,24.2,39.4,748,557,939,29.3,21.8,36.8,34411,31191,37631,.,.,.,.,.,.
29,067,MO,Douglas County,3078,2422,3734,23,18.1,27.9,991,755,1227,35,26.7,43.3,677,508,846,32.7,24.5,40.9,31805,28879,34731,.,.,.,.,.,.
29,069,MO,Dunklin County,9098,7851,10345,29.8,25.7,33.9,3283,2710,3856,41.5,34.3,48.7,2263,1846,2680,40.1,32.7,47.5,31486,28552,34420,.,.,.,.,.,.
29,071,MO,Franklin County,11919,10056,13782,11.8,10,13.6,3808,2995,4621,16.2,12.8,19.6,2604,2010,3198,15.1,11.7,18.5,51978,49012,54944,.,.,.,.,.,.
29,073,MO,Gasconade County,1961,1557,2365,13.5,10.7,16.3,611,462,760,19.8,15,24.6,424,316,532,18.2,13.6,22.8,44065,40063,48067,.,.,.,.,.,.
29,075,MO,Gentry County,1030,816,1244,15.4,12.2,18.6,363,274,452,22,16.6,27.4,253,188,318,22,16.3,27.7,39444,35477,43411,.,.,.,.,.,.
29,077,MO,Greene County,56481,52370,60592,20.6,19.1,22.1,13951,11875,16027,23.9,20.3,27.5,8719,7106,10332,21.2,17.3,25.1,40386,38181,42591,.,.,.,.,.,.
29,079,MO,Grundy County,1890,1515,2265,19.2,15.4,23,639,490,788,27.4,21,33.8,422,318,526,25.8,19.4,32.2,37911,35223,40599,.,.,.,.,.,.
29,081,MO,Harrison County,1609,1327,1891,19,15.7,22.3,557,425,689,26.6,20.3,32.9,368,274,462,24.5,18.2,30.8,37486,33862,41110,.,.,.,.,.,.
29,083,MO,Henry County,3980,3336,4624,18.3,15.3,21.3,1244,959,1529,26.1,20.1,32.1,837,630,1044,24.2,18.2,30.2,39232,35888,42576,.,.,.,.,.,.
29,085,MO,Hickory County,2014,1565,2463,22.1,17.2,27,600,454,746,39.5,29.9,49.1,416,309,523,36.1,26.8,45.4,33707,31034,36380,.,.,.,.,.,.
29,087,MO,Holt County,636,500,772,14.4,11.3,17.5,192,146,238,21.6,16.4,26.8,132,99,165,20.2,15.2,25.2,41652,37807,45497,.,.,.,.,.,.
29,089,MO,Howard County,1479,1167,1791,15.6,12.3,18.9,488,376,600,22.8,17.6,28,325,246,404,20.9,15.8,26,44188,40541,47835,.,.,.,.,.,.
29,091,MO,Howell County,8706,7259,10153,22.1,18.4,25.8,2909,2254,3564,30.6,23.7,37.5,1976,1500,2452,28.7,21.8,35.6,32662,29740,35584,.,.,.,.,.,.
29,093,MO,Iron County,2201,1755,2647,22.1,17.6,26.6,715,546,884,32.9,25.1,40.7,496,375,617,31.8,24.1,39.5,33091,30077,36105,.,.,.,.,.,.
29,095,MO,Jackson County,111130,103121,119139,16.5,15.3,17.7,37672,33478,41866,23.5,20.9,26.1,23647,20523,26771,20.8,18.1,23.5,46185,44327,48043,.,.,.,.,.,.
